n_obs,nrmse,optimality_gap,total_regret,cvar90,max_regret,sse,actual_sum,oracle_sum,realized_sum,zone,block,cvar_lambda,train_start,train_end,test_start,test_end,history_rows
360,83.19260939905622,21.091627202076815,17416.12890722117,283.9014603015386,1069.707377459447,11.81485702738786,78.39362356599999,82573.6617680511,65157.53286082993,z02,24,0.05,2014-02-21,2014-05-21,2014-05-22,2014-06-20,12
360,55.994965230324055,17.627182332366477,23381.465503486907,456.2209442028916,2509.7176458519475,11.490535418644146,114.86094999999999,132644.37312,109262.90761651308,z03,1,0.0,2012-04-02,2012-06-30,2012-07-01,2012-07-30,6
360,56.24055036461994,17.664963210459383,23431.57971239248,451.35470985233036,2533.3543035154034,11.59154781816759,114.86094999999999,132644.37312,109212.79340760753,z03,1,0.05,2012-04-02,2012-06-30,2012-07-01,2012-07-30,6
360,70.31399500551849,23.022575166784566,24716.629748280095,441.26396094807893,3045.8707359069003,22.304530376915494,127.440075,107358.23238375,82641.6026354699,z03,2,0.0,2012-05-02,2012-07-30,2012-07-31,2012-08-29,12
360,68.41560824130276,21.203054523546964,22763.224547842765,413.50522956213007,2497.5818255456525,21.11640197557441,127.440075,107358.23238375,84595.00783590722,z03,2,0.05,2012-05-02,2012-07-30,2012-07-31,2012-08-29,12
360,70.51041434906998,16.556201511962165,18528.44412187406,300.65402963666827,1022.4199054110389,28.611967249743387,143.9368,111912.41003249999,93383.96591062594,z03,3,0.0,2012-06-01,2012-08-29,2012-08-30,2012-09-28,12
360,74.79381087646058,17.32943099915007,19393.783876067984,316.83108593220436,1011.9635391202333,32.193819843253365,143.9368,111912.41003249999,92518.62615643202,z03,3,0.05,2012-06-01,2012-08-29,2012-08-30,2012-09-28,12
360,87.6817786362953,24.244455807694667,35252.62637087496,614.9806133702288,4427.639999999999,63.0386837572204,171.808825,145404.89854875,110152.27217787504,z03,4,0.0,2012-07-01,2012-09-28,2012-09-29,2012-10-28,12
360,86.12438913387643,23.79182858387206,34594.484215271674,608.0996204060764,4427.639999999999,60.819205669980285,171.808825,145404.89854875,110810.41433347833,z03,4,0.05,2012-07-01,2012-09-28,2012-09-29,2012-10-28,12
360,68.93722039363115,30.59936862634935,49252.03053777283,734.7523519900208,3392.2055062500003,37.535137855868264,168.622875,160957.6692225,111705.63868472716,z03,5,0.0,2012-07-31,2012-10-28,2012-10-29,2012-11-27,12
