zone,block,nrmse_lambda0,optimality_gap_lambda0,total_regret_lambda0,cvar90_lambda0,max_regret_lambda0,nrmse_lambda005,optimality_gap_lambda005,total_regret_lambda005,cvar90_lambda005,max_regret_lambda005,nrmse_change,optimality_gap_change,total_regret_change,total_regret_change_percent,cvar90_change,cvar90_change_percent,max_regret_change,max_regret_change_percent
z02,24,82.73819722833447,21.41966442972391,17687.001258051772,287.97771094638006,1068.4343819436885,83.19260939905622,21.091627202076815,17416.12890722117,283.9014603015386,1069.707377459447,0.4544121707217528,-0.3280372276470942,-270.87235083060295,-1.5314769693211387,-4.07625064484148,-1.4154743544025379,1.272995515758339,0.1191458771143731
z03,1,55.994965230324055,17.627182332366477,23381.465503486907,456.2209442028916,2509.7176458519475,56.24055036461994,17.664963210459383,23431.57971239248,451.35470985233036,2533.3543035154034,0.24558513429588658,0.037780878092906534,50.11420890557201,0.21433305323867924,-4.866234350561228,-1.0666398402781583,23.636657663455935,0.9418054537936775
z03,2,70.31399500551849,23.022575166784566,24716.629748280095,441.26396094807893,3045.8707359069003,68.41560824130276,21.203054523546964,22763.224547842765,413.50522956213007,2497.5818255456525,-1.8983867642157293,-1.8195206432376025,-1953.4052004373298,-7.903202096447868,-27.758731385948863,-6.290731589841999,-548.2889103612479,-18.001056443322643
z03,3,70.51041434906998,16.556201511962165,18528.44412187406,300.65402963666827,1022.4199054110389,74.79381087646058,17.32943099915007,19393.783876067984,316.83108593220436,1011.9635391202333,4.283396527390607,0.7732294871879049,865.339754193923,4.67033145633816,16.17705629553609,5.380621811417461,-10.45636629080559,-1.022707620955586
z03,4,87.6817786362953,24.244455807694667,35252.62637087496,614.9806133702288,4427.639999999999,86.12438913387643,23.79182858387206,34594.484215271674,608.0996204060764,4427.639999999999,-1.5573895024188715,-0.45262722382260634,-658.1421556032874,-1.866930845603696,-6.8809929641523695,-1.1188959155058593,0.0,0.0
z03,5,68.93722039363115,30.59936862634935,49252.03053777283,734.7523519900208,3392.2055062500003,69.21110928003306,30.02342865716318,48325.01098724999,731.5197533816608,3392.2055062500003,0.273888886401906,-0.5759399691861695,-927.0195505228403,-1.8821955976249178,-3.232598608359922,-0.4399575720451489,0.0,0.0
z03,6,57.21658572175743,24.178882902657495,38771.23866703737,631.6749705334596,2142.6916969628537,55.67424047066322,22.750915605142822,36481.469486072405,583.337438499027,2158.4928609612516,-1.5423452510942113,-1.427967297514673,-2289.7691809649623,-5.905844795491881,-48.33753203443257,-7.652279145018324,15.801163998397897,0.7374445899424154
z03,7,34.30361596436746,15.651509160875092,28685.037644142518,610.153109060797,8172.7336529602535,36.02636299428222,15.505986591068366,28418.33362537524,606.3121899104838,8640.288753631005,1.722747029914764,-0.14552256980672595,-266.7040187672792,-0.9297670167838882,-3.840919150313198,-0.6295008733505414,467.555100670751,5.720914451939803
z03,8,51.299397502196605,17.019335781271735,23796.278013266703,341.83739768260557,964.5425376119761,51.78991343769631,17.530117939307644,24510.44890648182,357.5121006397569,916.0694026280555,0.4905159354997082,0.5107821580359087,714.1708932151159,3.0011873824005475,15.67470295715134,4.585426598556436,-48.473134983920545,-5.025505158531506
z03,9,41.40180132917143,14.165922534970909,21050.46115072672,329.8489309588876,1603.9533560073655,42.43483135696321,12.91412537274062,19190.299381024313,289.93361950256786,1523.7316382202305,1.0330300277917814,-1.2517971622302895,-1860.1617697024049,-8.836679426560625,-39.91531145631973,-12.101088622686722,-80.22171778713505,-5.0014994193363975
z03,10,61.361305552464174,36.30338004647189,61608.497252325295,1260.5863494113191,22671.758685506487,65.45531895042251,34.9717698136225,59348.693750099,1209.08034127465,21990.32463847693,4.094013397958335,-1.3316102328493855,-2259.803502226292,-3.6680062053307103,-51.50600813666915,-4.085877033391797,-681.4340470295574,-3.005651464811955
z03,11,51.236602660644515,16.98584804278594,20476.84852778012,355.6889747481967,1806.3409830668888,56.18754616325244,16.10476353182758,19414.679949230394,323.18881723746904,1764.8078307332455,4.950943502607927,-0.8810845109583596,-1062.1685785497248,-5.187168216382141,-32.50015751072766,-9.137240628202077,-41.53315233364333,-2.299297459504375
z03,12,91.57299595420605,30.177398365950594,22400.147600323016,347.6871242279601,1196.062358758145,91.62601946329917,29.131542733810846,21623.827513201366,340.01994108965897,1059.388378320028,0.05302350909312281,-1.045855632139748,-776.3200871216504,-3.465691838166529,-7.667183138301141,-2.2051961674813625,-136.6739804381168,-11.426994540654514
z03,13,61.75010984810097,22.360554362851868,20359.776547365833,352.25934595445716,876.5683547455089,63.63794904956033,21.7991890342976,19848.641068999015,341.45887167585096,842.3137344621243,1.8878392014593643,-0.5613653285542668,-511.13547836681755,-2.5105161502027817,-10.800474278606202,-3.066057551813706,-34.25462028338461,-3.9078093679676167
z03,14,84.54636090455793,30.297391575395753,26852.769992948255,474.2982376162515,1537.5975318777935,85.71919889181324,30.285641273465203,26842.355625945616,479.16575621067386,1582.83687,1.1728379872553063,-0.011750301930550933,-10.414367002638755,-0.0387832130740093,4.867518594422336,1.0262569430756732,45.23933812220662,2.9422093352971244
z03,15,60.62975976014089,17.664490602612357,21756.71324773627,388.30329753101955,1519.2249363475132,61.301586080396696,17.288455438156653,21293.564356088173,382.63429484036874,1467.6687103997283,0.6718263202558035,-0.37603516445570406,-463.14889164809574,-2.128763137953685,-5.669002690650814,-1.459941938864927,-51.556225947784924,-3.393587395408033
z03,16,92.95935355869314,15.988080895900834,24537.66396518178,380.1688631925322,1197.0267562500003,93.6915366892073,15.758367630122052,24185.112151069465,375.9943906548807,1197.0267562500003,0.7321831305141586,-0.22971326577878237,-352.5518141123139,-1.4367782304484018,-4.174472537651525,-1.0980574533631415,0.0,0.0
z03,17,56.44773429171735,19.74589613349614,32810.37152606718,549.0841885020686,1741.5845977972904,63.49790659351954,21.142250958422622,35130.59646183679,584.3043896247286,1888.98643125,7.050172301802185,1.3963548249264832,2320.2249357696055,7.07162042930917,35.22020112266,6.414353547266152,147.40183345270952,8.463661979965797
z03,18,37.848991755727006,14.38771881121621,30726.416857017743,487.52876858644294,1554.9409769798074,36.663596653562344,12.890362255541866,27528.661721758115,438.4781056459021,1314.450279894796,-1.1853951021646623,-1.4973565556743438,-3197.7551352596274,-10.407185289908861,-49.05066294054086,-10.061080719966531,-240.49069708501133,-15.466226734349826
z03,19,45.26946707683341,25.30273265996041,62707.23907232398,1447.6651558692008,9573.711487416342,46.6182905205258,25.02055729904449,62007.929710957105,1428.29873049982,9416.951373153226,1.348823443692389,-0.2821753609159181,-699.3093613668752,-1.1151971793245756,-19.36642536938075,-1.33776966937861,-156.7601142631156,-1.6374016959792517
z03,20,45.0930570999507,18.28727840549497,67843.42121050919,1288.574307159216,7386.439108244369,49.538315891060506,18.447928605401717,68439.41252961937,1290.2946977512859,6886.779466470787,4.445258791109808,0.16065019990674756,595.9913191101805,0.878480637438519,1.7203905920698617,0.13351116676093175,-499.6596417735818,-6.764553724079131
z03,21,54.33671173690212,23.603090095999242,54853.70903952992,1081.339258727663,6679.57398266445,56.337350942380354,24.203890084834438,56249.97146298711,1104.6403614449591,6066.380259811873,2.0006392054782367,0.6007999888351954,1396.2624234571922,2.5454293755249733,23.30110271729609,2.1548373953159605,-613.1937228525776,-9.180132212683084
z03,22,75.99815340064961,22.79718653312597,24946.610287014802,324.04670151783637,1398.9487618698545,82.2448531293897,22.2662142057386,24365.575442856527,290.1548920703605,948.740196942374,6.246699728740083,-0.5309723273873708,-581.0348441582755,-2.329113404480109,-33.89180944747585,-10.458927459753934,-450.20856492748044,-32.1819195383343
z03,23,59.43535639769827,24.942285137661347,33949.12252534576,755.8766065578321,8060.050006543999,59.13994671987947,24.275790488560414,33041.95189603362,731.3053543019325,8009.433144251152,-0.2954096778188031,-0.6664946491009331,-907.1706293121388,-2.672147501411451,-24.571252255899594,-3.2506962171767713,-50.616862292847145,-0.6279968765919695
z03,24,68.4274654644658,17.427806830929505,16241.15799674227,256.3678120100146,780.7147036454822,76.90071017116463,17.935599991020748,16714.37582746039,254.2474046762056,780.7258023995139,8.473244706698836,0.5077931600912429,473.21783071812024,2.913695136843325,-2.12040733380897,-0.8270957719630341,0.01109875403165006,0.0014216145769799587
